repo,numero,status,arquivos_alterados,linhas_adicionadas,linhas_removidas,tempo_analise_horas,descricao_tamanho,comentarios,participantes,reviews
freeCodeCamp/freeCodeCamp,59556,merged,1,8,0,17.71,1037,0,1,3
freeCodeCamp/freeCodeCamp,59552,merged,2,391,50,50.12,870,0,1,3
freeCodeCamp/freeCodeCamp,59548,merged,2,246,1,50.55,750,1,1,7
freeCodeCamp/freeCodeCamp,59522,merged,1,9,2,67.27,750,1,1,3
freeCodeCamp/freeCodeCamp,59492,merged,1,43,35,135.96,410,1,1,2
freeCodeCamp/freeCodeCamp,59461,merged,4,14,36,19.08,852,0,1,2
freeCodeCamp/freeCodeCamp,59441,merged,2,98,1,37.52,750,1,1,3
freeCodeCamp/freeCodeCamp,59432,merged,1,8,8,5.84,750,0,1,5
freeCodeCamp/freeCodeCamp,59416,merged,2,6,6,1.23,1436,1,1,1
freeCodeCamp/freeCodeCamp,59405,merged,7,99,76,16.84,750,1,1,1
freeCodeCamp/freeCodeCamp,59400,merged,4,13,5,72.49,750,11,1,11
freeCodeCamp/freeCodeCamp,59382,merged,1,4,2,1.61,863,0,1,1
freeCodeCamp/freeCodeCamp,59376,merged,20,0,26,93.76,938,3,1,2
freeCodeCamp/freeCodeCamp,59369,merged,2,35,17,309.46,1192,0,1,2
freeCodeCamp/freeCodeCamp,59366,merged,1,2,2,9.02,794,0,1,1
freeCodeCamp/freeCodeCamp,59355,merged,1,8,1,26.35,751,0,1,3
freeCodeCamp/freeCodeCamp,59350,merged,5,12,12,36.53,1286,2,1,3
freeCodeCamp/freeCodeCamp,59338,merged,1,20,1,57.89,750,0,1,7
freeCodeCamp/freeCodeCamp,59334,merged,1,1,1,77.44,736,0,1,1
freeCodeCamp/freeCodeCamp,59327,merged,1,1,1,133.87,750,0,1,1
freeCodeCamp/freeCodeCamp,59310,merged,1,21,13,243.14,750,1,1,15
freeCodeCamp/freeCodeCamp,59306,merged,12,76,25,184.4,853,9,1,1
freeCodeCamp/freeCodeCamp,59283,merged,8,206,29,506.16,1169,3,1,1
freeCodeCamp/freeCodeCamp,59282,merged,165,16269,23,462.74,692,5,1,30
freeCodeCamp/freeCodeCamp,59280,merged,1,12,2,191.63,750,4,1,2
freeCodeCamp/freeCodeCamp,59278,merged,90,6405,10,328.22,1237,5,1,13
freeCodeCamp/freeCodeCamp,59263,merged,4,409,102,284.71,750,2,1,24
freeCodeCamp/freeCodeCamp,59262,merged,1,7,1,313.6,750,0,1,7
freeCodeCamp/freeCodeCamp,59252,merged,2,29,7,16.14,973,2,1,1
freeCodeCamp/freeCodeCamp,59250,merged,2,89,167,1.79,547,3,1,1
codecrafters-io/build-your-own-x,893,merged,1,1,0,15.38,114,0,1,3
codecrafters-io/build-your-own-x,855,merged,1,1,0,39.49,48,1,1,2
codecrafters-io/build-your-own-x,63,merged,1,2,1,1.41,19,1,1,2
codecrafters-io/build-your-own-x,59,merged,1,1,0,22.97,74,1,1,2
codecrafters-io/build-your-own-x,35,merged,1,1,0,16.12,0,1,1,2
codecrafters-io/build-your-own-x,10,merged,1,1,0,21.78,193,1,1,2
sindresorhus/awesome,3335,merged,1,1,0,1106.47,9542,12,1,2
sindresorhus/awesome,3228,merged,1,1,0,1294.45,9181,13,1,2
sindresorhus/awesome,3227,merged,1,1,1,1297.73,9275,15,1,3
sindresorhus/awesome,3152,merged,1,1,0,2522.76,8935,15,1,4
sindresorhus/awesome,3149,merged,1,1,1,9.78,9031,0,1,1
sindresorhus/awesome,3091,merged,1,1,0,3032.62,8424,6,1,2
sindresorhus/awesome,3081,merged,1,1,0,941.83,9595,7,1,5
sindresorhus/awesome,3003,merged,1,1,0,1704.26,8592,11,1,1
sindresorhus/awesome,2850,merged,1,1,0,9136.57,9165,21,1,3
sindresorhus/awesome,2829,merged,1,1,0,5127.97,8606,7,1,2
sindresorhus/awesome,2736,merged,1,1,0,4702.9,4559,8,1,1
sindresorhus/awesome,2734,merged,1,1,0,1819.47,8968,5,1,2
sindresorhus/awesome,2601,merged,1,1,0,4137.45,9017,5,1,2
sindresorhus/awesome,2585,merged,1,1,0,7429.32,8444,16,1,2
sindresorhus/awesome,2571,merged,1,1,0,1125.56,7662,7,1,5
sindresorhus/awesome,2550,merged,1,1,0,1055.95,8869,15,1,2
sindresorhus/awesome,2498,merged,1,1,0,3543.25,9009,11,1,1
sindresorhus/awesome,2482,merged,1,1,0,3919.92,8665,12,1,1
sindresorhus/awesome,2463,merged,1,1,0,2813.2,9268,11,1,2
sindresorhus/awesome,2454,merged,1,1,0,4522.89,9143,11,1,1
sindresorhus/awesome,2445,merged,1,1,0,1727.37,8903,10,1,1
sindresorhus/awesome,2426,merged,1,1,0,963.43,8159,8,1,2
sindresorhus/awesome,2424,merged,1,1,0,4441.27,9961,21,1,9
sindresorhus/awesome,2405,merged,1,1,0,2823.54,8446,18,1,1
sindresorhus/awesome,2400,merged,1,1,0,6271.09,9138,11,1,1
sindresorhus/awesome,2389,merged,1,1,0,9377.95,8539,14,1,3
sindresorhus/awesome,2386,merged,1,1,0,2327.86,8655,12,1,5
sindresorhus/awesome,2383,merged,1,1,0,5258.69,8539,16,1,5
sindresorhus/awesome,2325,merged,1,1,0,3707.38,8814,22,1,4
sindresorhus/awesome,2268,merged,1,1,0,442.42,8603,7,1,3
EbookFoundation/free-programming-books,11841,merged,2,7,0,8.39,1546,1,1,2
EbookFoundation/free-programming-books,11840,merged,1,1,0,4.61,1003,1,1,2
EbookFoundation/free-programming-books,11832,merged,1,6,0,25.16,1311,0,1,5
EbookFoundation/free-programming-books,11823,merged,1,1,0,43.36,1153,0,1,1
EbookFoundation/free-programming-books,11795,merged,1,1,0,34.9,877,0,1,1
EbookFoundation/free-programming-books,11788,merged,1,1,0,2.17,1424,2,1,1
EbookFoundation/free-programming-books,11781,merged,1,10,2,327.52,887,19,1,18
EbookFoundation/free-programming-books,11779,merged,1,1,0,17.14,1385,1,1,1
EbookFoundation/free-programming-books,11774,merged,1,1,0,78.76,860,2,1,1
EbookFoundation/free-programming-books,11759,merged,1,1,0,19.81,953,0,1,1
EbookFoundation/free-programming-books,11755,merged,1,1,0,27.21,1403,0,1,2
EbookFoundation/free-programming-books,11750,merged,1,1,0,23.01,1387,4,1,3
EbookFoundation/free-programming-books,11748,merged,1,1,1,20.92,810,1,1,2
EbookFoundation/free-programming-books,11745,merged,1,2,2,24.4,205,1,1,2
EbookFoundation/free-programming-books,11736,merged,1,5,0,37.88,1448,12,1,4
EbookFoundation/free-programming-books,11729,merged,1,1,0,28.7,1089,0,1,1
EbookFoundation/free-programming-books,11728,merged,1,6,0,88.0,991,0,1,1
EbookFoundation/free-programming-books,11710,merged,1,7,7,11.21,1160,1,1,3
EbookFoundation/free-programming-books,11707,merged,1,1,0,15.84,1303,0,1,1
EbookFoundation/free-programming-books,11704,merged,1,1,0,27.91,957,0,1,1
EbookFoundation/free-programming-books,11697,merged,1,6,0,7.57,956,1,1,2
EbookFoundation/free-programming-books,11695,merged,1,1,0,28.68,943,1,1,3
EbookFoundation/free-programming-books,11693,merged,1,1,0,9.59,879,1,1,1
EbookFoundation/free-programming-books,11692,merged,1,1,0,10.47,999,1,1,2
EbookFoundation/free-programming-books,11686,merged,1,4,0,124.29,960,6,1,6
EbookFoundation/free-programming-books,11682,merged,1,3,3,23.17,1495,0,1,1
EbookFoundation/free-programming-books,11680,merged,1,2,1,48.12,998,0,1,2
EbookFoundation/free-programming-books,11679,merged,1,1,0,27.31,865,2,1,1
EbookFoundation/free-programming-books,11676,merged,1,7,0,49.67,889,4,1,6
EbookFoundation/free-programming-books,11674,merged,1,1,1,30.29,940,1,1,1
public-apis/public-apis,3078,merged,1,1,0,191.66,902,0,1,1
public-apis/public-apis,3072,merged,1,1,0,183.45,1125,5,1,1
public-apis/public-apis,3039,merged,1,1,0,66.08,902,1,1,1
public-apis/public-apis,3038,merged,1,1,0,55.51,902,0,1,2
public-apis/public-apis,3033,merged,1,1,0,10.25,1007,0,1,4
public-apis/public-apis,3032,merged,1,1,0,105.07,924,1,1,2
public-apis/public-apis,3030,merged,1,1,0,109.73,902,1,1,2
public-apis/public-apis,3006,merged,1,1,0,3.94,1012,0,1,3
public-apis/public-apis,2994,merged,1,1,0,28.49,902,0,1,2
public-apis/public-apis,2965,merged,1,1,0,44.21,942,0,1,1
public-apis/public-apis,2964,merged,1,1,0,75.82,902,0,1,4
public-apis/public-apis,2950,merged,1,1,0,138.77,902,1,1,2
public-apis/public-apis,2936,merged,1,1,0,39.02,902,1,1,2
public-apis/public-apis,2914,merged,1,1,0,45.05,902,2,1,5
public-apis/public-apis,2912,merged,1,1,0,71.44,902,0,1,3
public-apis/public-apis,2910,merged,1,1,0,120.36,902,1,1,5
public-apis/public-apis,2897,merged,1,6,5,347.95,902,2,1,1
public-apis/public-apis,2893,merged,1,1,0,15.4,902,2,1,2
public-apis/public-apis,2889,merged,1,1,0,75.18,902,0,1,3
public-apis/public-apis,2878,merged,1,1,0,194.55,988,4,1,1
public-apis/public-apis,2875,merged,1,1,0,553.15,945,0,1,1
public-apis/public-apis,2863,merged,1,1,0,28.1,976,0,1,1
public-apis/public-apis,2850,merged,1,1,0,32.53,944,0,1,1
public-apis/public-apis,2811,merged,1,1,1,15.01,902,2,1,1
public-apis/public-apis,2769,merged,1,1,1,3.87,902,3,1,3
public-apis/public-apis,2766,merged,1,1,0,51.83,1112,0,1,2
public-apis/public-apis,2748,merged,1,1,0,49.15,902,2,1,2
public-apis/public-apis,2746,merged,1,1,0,671.14,902,0,1,1
public-apis/public-apis,2741,merged,1,1,0,115.04,902,1,1,3
public-apis/public-apis,2716,merged,1,1,0,70.41,902,2,1,1
